date,county,state,fips,cases,deaths,new_cases,new_deaths
2020-03-07,Riverside,California,6065.0,1,0,1.0,0.0
2020-03-08,Riverside,California,6065.0,1,0,0.0,0.0
2020-03-09,Riverside,California,6065.0,4,0,3.0,0.0
2020-03-10,Riverside,California,6065.0,4,0,0.0,0.0
2020-03-11,Riverside,California,6065.0,4,0,0.0,0.0
2020-03-12,Riverside,California,6065.0,6,0,2.0,0.0
2020-03-13,Riverside,California,6065.0,10,0,4.0,0.0
2020-03-14,Riverside,California,6065.0,10,0,0.0,0.0
2020-03-15,Riverside,California,6065.0,12,0,2.0,0.0
2020-03-16,Riverside,California,6065.0,14,2,2.0,2.0
2020-03-17,Riverside,California,6065.0,16,3,2.0,1.0
2020-03-18,Riverside,California,6065.0,16,3,0.0,0.0
2020-03-19,Riverside,California,6065.0,22,3,6.0,0.0
2020-03-20,Riverside,California,6065.0,28,4,6.0,1.0
2020-03-21,Riverside,California,6065.0,30,5,2.0,1.0
2020-03-22,Riverside,California,6065.0,45,6,15.0,1.0
2020-03-23,Riverside,California,6065.0,48,6,3.0,0.0
2020-03-24,Riverside,California,6065.0,59,6,11.0,0.0
2020-03-25,Riverside,California,6065.0,107,8,48.0,2.0
2020-03-26,Riverside,California,6065.0,107,8,0.0,0.0
2020-03-27,Riverside,California,6065.0,185,8,78.0,0.0
2020-03-28,Riverside,California,6065.0,185,8,0.0,0.0
2020-03-29,Riverside,California,6065.0,195,8,10.0,0.0
2020-03-30,Riverside,California,6065.0,291,9,96.0,1.0
2020-03-31,Riverside,California,6065.0,371,13,80.0,4.0
2020-04-01,Riverside,California,6065.0,371,13,0.0,0.0
2020-04-02,Riverside,California,6065.0,493,14,122.0,1.0
2020-04-03,Riverside,California,6065.0,638,15,145.0,1.0
2020-04-04,Riverside,California,6065.0,665,18,27.0,3.0
2020-04-05,Riverside,California,6065.0,799,19,134.0,1.0
2020-04-06,Riverside,California,6065.0,946,25,147.0,6.0
2020-04-07,Riverside,California,6065.0,1016,28,70.0,3.0
2020-04-08,Riverside,California,6065.0,1179,32,163.0,4.0
2020-04-09,Riverside,California,6065.0,1280,33,101.0,1.0
2020-04-10,Riverside,California,6065.0,1350,39,70.0,6.0
2020-04-11,Riverside,California,6065.0,1431,41,81.0,2.0
2020-04-12,Riverside,California,6065.0,1619,41,188.0,0.0
2020-04-13,Riverside,California,6065.0,1751,50,132.0,9.0
2020-04-14,Riverside,California,6065.0,1961,50,210.0,0.0
2020-04-15,Riverside,California,6065.0,2105,54,144.0,4.0
2020-04-16,Riverside,California,6065.0,2264,59,159.0,5.0
2020-04-17,Riverside,California,6065.0,2457,69,193.0,10.0
2020-04-18,Riverside,California,6065.0,2602,74,145.0,5.0
2020-04-19,Riverside,California,6065.0,2638,75,36.0,1.0
2020-04-20,Riverside,California,6065.0,2847,85,209.0,10.0
2020-04-21,Riverside,California,6065.0,2960,93,113.0,8.0
2020-04-22,Riverside,California,6065.0,3084,99,124.0,6.0
2020-04-23,Riverside,California,6065.0,3218,109,134.0,10.0
2020-04-24,Riverside,California,6065.0,3315,112,97.0,3.0
2020-04-25,Riverside,California,6065.0,3409,117,94.0,5.0
2020-04-26,Riverside,California,6065.0,3563,118,154.0,1.0
2020-04-27,Riverside,California,6065.0,3643,141,80.0,23.0
2020-04-28,Riverside,California,6065.0,3735,141,92.0,0.0
2020-04-29,Riverside,California,6065.0,3942,143,207.0,2.0
2020-04-30,Riverside,California,6065.0,4031,149,89.0,6.0
2020-05-01,Riverside,California,6065.0,4079,156,48.0,7.0
2020-05-02,Riverside,California,6065.0,4164,167,85.0,11.0
2020-05-03,Riverside,California,6065.0,4180,167,16.0,0.0
2020-05-04,Riverside,California,6065.0,4354,181,174.0,14.0
2020-05-05,Riverside,California,6065.0,4454,184,100.0,3.0
2020-05-06,Riverside,California,6065.0,4672,190,218.0,6.0
2020-05-07,Riverside,California,6065.0,4756,194,84.0,4.0
2020-05-08,Riverside,California,6065.0,4817,204,61.0,10.0
2020-05-09,Riverside,California,6065.0,4992,210,175.0,6.0
2020-05-10,Riverside,California,6065.0,5039,212,47.0,2.0
2020-05-11,Riverside,California,6065.0,5189,217,150.0,5.0
2020-05-12,Riverside,California,6065.0,5248,228,59.0,11.0
2020-05-13,Riverside,California,6065.0,5343,238,95.0,10.0
2020-05-14,Riverside,California,6065.0,5440,246,97.0,8.0
2020-05-15,Riverside,California,6065.0,5618,249,178.0,3.0
2020-05-16,Riverside,California,6065.0,5618,255,0.0,6.0
2020-05-17,Riverside,California,6065.0,5633,259,15.0,4.0
2020-05-18,Riverside,California,6065.0,5952,263,319.0,4.0
2020-05-19,Riverside,California,6065.0,6053,270,101.0,7.0
2020-05-20,Riverside,California,6065.0,6184,274,131.0,4.0
2020-05-21,Riverside,California,6065.0,6343,284,159.0,10.0
2020-05-22,Riverside,California,6065.0,6464,290,121.0,6.0
2020-05-23,Riverside,California,6065.0,6464,298,0.0,8.0
2020-05-24,Riverside,California,6065.0,6464,299,0.0,1.0
2020-05-25,Riverside,California,6065.0,7004,304,540.0,5.0
2020-05-26,Riverside,California,6065.0,7139,309,135.0,5.0
2020-05-27,Riverside,California,6065.0,7252,314,113.0,5.0
2020-05-28,Riverside,California,6065.0,7341,320,89.0,6.0
2020-05-29,Riverside,California,6065.0,7486,331,145.0,11.0
2020-05-30,Riverside,California,6065.0,7486,339,0.0,8.0
2020-05-31,Riverside,California,6065.0,7492,339,6.0,0.0
