date,county,state,fips,cases,deaths,new_cases,new_deaths
2020-01-26,Los Angeles,California,6037.0,1,0,1.0,0.0
2020-01-27,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-01-28,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-01-29,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-01-30,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-01-31,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-02-01,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-02-02,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-02-03,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-02-04,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-02-05,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-02-06,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-02-07,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-02-08,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-02-09,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-02-10,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-02-11,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-02-12,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-02-13,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-02-14,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-02-15,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-02-16,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-02-17,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-02-18,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-02-19,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-02-20,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-02-21,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-02-22,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-02-23,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-02-24,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-02-25,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-02-26,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-02-27,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-02-28,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-02-29,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-03-01,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-03-02,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-03-03,Los Angeles,California,6037.0,1,0,0.0,0.0
2020-03-04,Los Angeles,California,6037.0,7,0,6.0,0.0
2020-03-05,Los Angeles,California,6037.0,11,0,4.0,0.0
2020-03-06,Los Angeles,California,6037.0,13,0,2.0,0.0
2020-03-07,Los Angeles,California,6037.0,14,0,1.0,0.0
2020-03-08,Los Angeles,California,6037.0,14,0,0.0,0.0
2020-03-09,Los Angeles,California,6037.0,19,0,5.0,0.0
2020-03-10,Los Angeles,California,6037.0,20,0,1.0,0.0
2020-03-11,Los Angeles,California,6037.0,28,1,8.0,1.0
2020-03-12,Los Angeles,California,6037.0,32,1,4.0,0.0
2020-03-13,Los Angeles,California,6037.0,40,1,8.0,0.0
2020-03-14,Los Angeles,California,6037.0,53,1,13.0,0.0
2020-03-15,Los Angeles,California,6037.0,69,1,16.0,0.0
2020-03-16,Los Angeles,California,6037.0,94,1,25.0,0.0
2020-03-17,Los Angeles,California,6037.0,144,1,50.0,0.0
2020-03-18,Los Angeles,California,6037.0,190,1,46.0,0.0
2020-03-19,Los Angeles,California,6037.0,231,2,41.0,1.0
2020-03-20,Los Angeles,California,6037.0,292,2,61.0,0.0
2020-03-21,Los Angeles,California,6037.0,351,4,59.0,2.0
2020-03-22,Los Angeles,California,6037.0,421,5,70.0,1.0
2020-03-23,Los Angeles,California,6037.0,536,7,115.0,2.0
2020-03-24,Los Angeles,California,6037.0,662,11,126.0,4.0
2020-03-25,Los Angeles,California,6037.0,799,13,137.0,2.0
2020-03-26,Los Angeles,California,6037.0,1216,21,417.0,8.0
2020-03-27,Los Angeles,California,6037.0,1465,27,249.0,6.0
2020-03-28,Los Angeles,California,6037.0,1804,33,339.0,6.0
2020-03-29,Los Angeles,California,6037.0,2136,37,332.0,4.0
2020-03-30,Los Angeles,California,6037.0,2474,44,338.0,7.0
2020-03-31,Los Angeles,California,6037.0,3011,54,537.0,10.0
2020-04-01,Los Angeles,California,6037.0,3518,65,507.0,11.0
2020-04-02,Los Angeles,California,6037.0,4045,78,527.0,13.0
2020-04-03,Los Angeles,California,6037.0,4566,89,521.0,11.0
2020-04-04,Los Angeles,California,6037.0,5277,117,711.0,28.0
2020-04-05,Los Angeles,California,6037.0,5940,132,663.0,15.0
2020-04-06,Los Angeles,California,6037.0,6360,147,420.0,15.0
2020-04-07,Los Angeles,California,6037.0,6910,169,550.0,22.0
2020-04-08,Los Angeles,California,6037.0,7530,198,620.0,29.0
2020-04-09,Los Angeles,California,6037.0,7955,223,425.0,25.0
2020-04-10,Los Angeles,California,6037.0,8430,241,475.0,18.0
2020-04-11,Los Angeles,California,6037.0,8873,265,443.0,24.0
2020-04-12,Los Angeles,California,6037.0,9192,296,319.0,31.0
2020-04-13,Los Angeles,California,6037.0,9420,320,228.0,24.0
2020-04-14,Los Angeles,California,6037.0,10047,360,627.0,40.0
2020-04-15,Los Angeles,California,6037.0,10496,402,449.0,42.0
2020-04-16,Los Angeles,California,6037.0,10854,455,358.0,53.0
2020-04-17,Los Angeles,California,6037.0,11391,495,537.0,40.0
2020-04-18,Los Angeles,California,6037.0,12021,576,630.0,81.0
2020-04-19,Los Angeles,California,6037.0,12341,600,320.0,24.0
2020-04-20,Los Angeles,California,6037.0,13816,617,1475.0,17.0
2020-04-21,Los Angeles,California,6037.0,15140,663,1324.0,46.0
2020-04-22,Los Angeles,California,6037.0,16435,729,1295.0,66.0
2020-04-23,Los Angeles,California,6037.0,17508,797,1073.0,68.0
2020-04-24,Los Angeles,California,6037.0,18545,850,1037.0,53.0
2020-04-25,Los Angeles,California,6037.0,19107,895,562.0,45.0
2020-04-26,Los Angeles,California,6037.0,19528,913,421.0,18.0
2020-04-27,Los Angeles,California,6037.0,20417,942,889.0,29.0
2020-04-28,Los Angeles,California,6037.0,20976,1000,559.0,58.0
2020-04-29,Los Angeles,California,6037.0,22485,1056,1509.0,56.0
2020-04-30,Los Angeles,California,6037.0,23182,1111,697.0,55.0
2020-05-01,Los Angeles,California,6037.0,24215,1172,1033.0,61.0
2020-05-02,Los Angeles,California,6037.0,24894,1209,679.0,37.0
2020-05-03,Los Angeles,California,6037.0,25662,1229,768.0,20.0
2020-05-04,Los Angeles,California,6037.0,26217,1256,555.0,27.0
2020-05-05,Los Angeles,California,6037.0,27815,1313,1598.0,57.0
2020-05-06,Los Angeles,California,6037.0,28644,1367,829.0,54.0
2020-05-07,Los Angeles,California,6037.0,29427,1418,783.0,51.0
2020-05-08,Los Angeles,California,6037.0,30296,1468,869.0,50.0
2020-05-09,Los Angeles,California,6037.0,31197,1512,901.0,44.0
2020-05-10,Los Angeles,California,6037.0,31677,1530,480.0,18.0
2020-05-11,Los Angeles,California,6037.0,32258,1569,581.0,39.0
2020-05-12,Los Angeles,California,6037.0,33180,1613,922.0,44.0
2020-05-13,Los Angeles,California,6037.0,34428,1659,1248.0,46.0
2020-05-14,Los Angeles,California,6037.0,35329,1659,901.0,0.0
2020-05-15,Los Angeles,California,6037.0,36259,1755,930.0,96.0
2020-05-16,Los Angeles,California,6037.0,37303,1793,1044.0,38.0
2020-05-17,Los Angeles,California,6037.0,37974,1821,671.0,28.0
