date,county,state,fips,cases,deaths,new_cases
2020-04-03,Tehama,California,6103.0,1,0,1.0
2020-04-04,Tehama,California,6103.0,1,0,0.0
2020-04-05,Tehama,California,6103.0,1,0,0.0
2020-04-06,Tehama,California,6103.0,1,0,0.0
2020-04-07,Tehama,California,6103.0,1,0,0.0
2020-04-08,Tehama,California,6103.0,1,0,0.0
2020-04-09,Tehama,California,6103.0,1,0,0.0
2020-04-10,Tehama,California,6103.0,1,0,0.0
2020-04-11,Tehama,California,6103.0,1,0,0.0
2020-04-12,Tehama,California,6103.0,1,0,0.0
2020-04-13,Tehama,California,6103.0,1,0,0.0
2020-04-14,Tehama,California,6103.0,1,0,0.0
2020-04-15,Tehama,California,6103.0,1,0,0.0
2020-04-16,Tehama,California,6103.0,1,0,0.0
2020-04-17,Tehama,California,6103.0,1,0,0.0
2020-04-18,Tehama,California,6103.0,1,0,0.0
2020-04-19,Tehama,California,6103.0,1,0,0.0
2020-04-20,Tehama,California,6103.0,1,0,0.0
2020-04-21,Tehama,California,6103.0,1,0,0.0
2020-04-22,Tehama,California,6103.0,1,0,0.0
2020-04-23,Tehama,California,6103.0,1,0,0.0
2020-04-24,Tehama,California,6103.0,1,1,0.0
2020-04-25,Tehama,California,6103.0,1,0,0.0
2020-04-26,Tehama,California,6103.0,1,0,0.0
2020-04-27,Tehama,California,6103.0,1,1,0.0
2020-04-28,Tehama,California,6103.0,1,1,0.0
2020-04-29,Tehama,California,6103.0,1,1,0.0
2020-04-30,Tehama,California,6103.0,1,1,0.0
2020-05-01,Tehama,California,6103.0,1,1,0.0
2020-05-02,Tehama,California,6103.0,1,1,0.0
2020-05-03,Tehama,California,6103.0,1,1,0.0
2020-05-04,Tehama,California,6103.0,1,1,0.0
2020-05-05,Tehama,California,6103.0,1,1,0.0
2020-05-06,Tehama,California,6103.0,1,1,0.0
2020-05-07,Tehama,California,6103.0,1,1,0.0
2020-05-08,Tehama,California,6103.0,1,1,0.0
2020-05-09,Tehama,California,6103.0,1,1,0.0
2020-05-10,Tehama,California,6103.0,1,1,0.0
2020-05-11,Tehama,California,6103.0,1,1,0.0
